Isaiah Joe,PHI,1.0,0.6,3.6,7.7,.519,-0.4,
Naji Marshall,NOP,2.6,1.1,5.7,12.3,.505,-0.2,
Jalen McDaniels,CHO,3.1,1.1,6.2,12.7,.595,-0.1,
Shake Milton,PHI,2.6,2.5,8.2,11.9,.517,-0.1,
Tomáš Satoranský,TOT,2.3,3.3,3.6,10.2,.461,-0.4,
Jose Alvarado,NOP,1.9,2.8,6.1,16.4,.520,0.8,
Eric Bledsoe,LAC,3.4,4.2,9.9,12.5,.514,0.4,
Armoni Brooks,TOT,1.9,1.1,5.3,8.4,.483,-0.4,
John Collins,ATL,7.8,1.8,16.2,18.7,.610,1.5,
Josh Giddey,OKC,7.8,6.4,12.5,13.3,.478,0.5,
Josh Hart,TOT,7.2,4.1,14.9,16.1,.610,1.3,
George Hill,MIL,2.9,2.2,6.2,10.2,.552,0.1,
Serge Ibaka,TOT,4.6,0.9,6.8,14.4,.579,0.1,
Jock Landale,SAS,2.6,0.8,4.9,16.0,.597,0.2,
Marcus Morris,LAC,4.4,2.1,15.4,13.7,.549,0.3,
De'Andre Hunter,ATL,3.3,1.3,13.4,10.6,.547,-0.8,
Frank Jackson,DET,1.6,1.0,10.6,10.6,.530,-0.4,
Tony Snell,TOT,1.9,0.5,3.5,6.3,.541,-0.5,
Xavier Tillman Sr.,MEM,3.0,1.2,4.8,15.1,.510,0.5,
Taj Gibson,NYK,4.4,0.6,4.4,12.0,.606,0.0,
Rodney Hood,TOT,1.5,0.7,3.1,7.2,.493,-0.2,
Timothé Luwawu-Cabarrot,ATL,1.6,0.8,4.4,9.3,.556,-0.2,
Moses Moody,GSW,1.5,0.4,4.4,10.5,.573,-0.1,
Aaron Nesmith,BOS,1.7,0.4,3.8,7.3,.507,-0.3,
Thaddeus Young,TOT,4.0,2.0,6.2,17.0,.548,0.9,
Brandon Boston Jr.,LAC,2.2,1.0,6.7,11.2,.481,-0.3,
Luguentz Dort,OKC,4.2,1.7,17.2,12.3,.541,-0.1,
Josh Jackson,TOT,2.8,1.1,6.4,9.5,.491,-0.5,
Derrick Jones Jr.,CHI,3.3,0.6,5.6,13.0,.633,0.2,
Théo Maledon,OKC,2.6,2.2,7.1,10.6,.500,-0.6,
Doug McDermott,SAS,2.3,1.3,11.3,11.4,.593,-0.1,
Rodney McGruder,DET,2.2,0.9,5.4,11.6,.577,0.1,
Kristaps Porziņģis,TOT,8.1,2.3,20.2,23.7,.577,2.2,
Jalen Smith,TOT,6.0,0.5,9.2,18.4,.595,0.3,
Dean Wade,CLE,2.9,1.0,5.3,10.1,.584,0.4,
Goga Bitadze,IND,3.5,1.1,7.0,18.0,.595,0.2,
Willy Hernangómez,NOP,6.8,1.3,9.1,22.2,.582,0.5,
Elfrid Payton,PHO,1.8,2.0,3.0,7.9,.397,-0.2,
Joshua Primo,SAS,2.3,1.6,5.8,7.1,.487,-0.7,
Nick Richards,CHO,1.7,0.3,3.0,15.9,.689,-0.1,
Aaron Wiggins,OKC,3.6,1.4,8.3,10.3,.556,-0.7,
Dylan Windler,CLE,1.8,0.7,2.2,8.8,.519,0.0
